"k","n","method","fwer","c_factor"
5,10,"Fusion",0.0555,0.114256717260664
5,10,"Tukey",0.053,0.114256717260664
5,10,"Holm",0.0435,0.114256717260664
5,10,"BH",0.0485,0.114256717260664
5,10,"Scheffe",0.02,0.114256717260664
6,10,"Fusion",0.0495,0.066113596880164
6,10,"Tukey",0.0515,0.066113596880164
6,10,"Holm",0.039,0.066113596880164
6,10,"BH",0.0405,0.066113596880164
6,10,"Scheffe",0.014,0.066113596880164
8,10,"Fusion",0.0465,0.0246738185866684
8,10,"Tukey",0.0495,0.0246738185866684
8,10,"Holm",0.0365,0.0246738185866684
8,10,"BH",0.0395,0.0246738185866684
8,10,"Scheffe",0.005,0.0246738185866684
10,10,"Fusion",0.0415,0.0100856164791336
10,10,"Tukey",0.048,0.0100856164791336
10,10,"Holm",0.031,0.0100856164791336
10,10,"BH",0.0365,0.0100856164791336
10,10,"Scheffe",0.0035,0.0100856164791336
12,10,"Fusion",0.0525,0.00436682806707309
12,10,"Tukey",0.046,0.00436682806707309
12,10,"Holm",0.0315,0.00436682806707309
12,10,"BH",0.037,0.00436682806707309
12,10,"Scheffe",5e-04,0.00436682806707309
15,10,"Fusion",0.047,0.00133563187626497
15,10,"Tukey",0.0515,0.00133563187626497
15,10,"Holm",0.0375,0.00133563187626497
15,10,"BH",0.0425,0.00133563187626497
15,10,"Scheffe",5e-04,0.00133563187626497
5,15,"Fusion",0.05,0.114256717260664
5,15,"Tukey",0.0505,0.114256717260664
5,15,"Holm",0.0405,0.114256717260664
5,15,"BH",0.0455,0.114256717260664
5,15,"Scheffe",0.0225,0.114256717260664
6,15,"Fusion",0.0545,0.066113596880164
6,15,"Tukey",0.061,0.066113596880164
6,15,"Holm",0.045,0.066113596880164
6,15,"BH",0.0495,0.066113596880164
6,15,"Scheffe",0.0145,0.066113596880164
8,15,"Fusion",0.0565,0.0246738185866684
8,15,"Tukey",0.051,0.0246738185866684
8,15,"Holm",0.0355,0.0246738185866684
8,15,"BH",0.043,0.0246738185866684
8,15,"Scheffe",0.005,0.0246738185866684
10,15,"Fusion",0.046,0.0100856164791336
10,15,"Tukey",0.0485,0.0100856164791336
10,15,"Holm",0.0355,0.0100856164791336
10,15,"BH",0.0425,0.0100856164791336
10,15,"Scheffe",0.0045,0.0100856164791336
12,15,"Fusion",0.048,0.00436682806707309
12,15,"Tukey",0.047,0.00436682806707309
12,15,"Holm",0.035,0.00436682806707309
12,15,"BH",0.0385,0.00436682806707309
12,15,"Scheffe",0.0015,0.00436682806707309
15,15,"Fusion",0.0505,0.00133563187626497
15,15,"Tukey",0.044,0.00133563187626497
15,15,"Holm",0.0325,0.00133563187626497
15,15,"BH",0.036,0.00133563187626497
15,15,"Scheffe",5e-04,0.00133563187626497
5,20,"Fusion",0.056,0.114256717260664
5,20,"Tukey",0.0505,0.114256717260664
5,20,"Holm",0.042,0.114256717260664
5,20,"BH",0.047,0.114256717260664
5,20,"Scheffe",0.024,0.114256717260664
6,20,"Fusion",0.055,0.066113596880164
6,20,"Tukey",0.0565,0.066113596880164
6,20,"Holm",0.0405,0.066113596880164
6,20,"BH",0.045,0.066113596880164
6,20,"Scheffe",0.0115,0.066113596880164
8,20,"Fusion",0.0555,0.0246738185866684
8,20,"Tukey",0.0505,0.0246738185866684
8,20,"Holm",0.0345,0.0246738185866684
8,20,"BH",0.042,0.0246738185866684
8,20,"Scheffe",0.0055,0.0246738185866684
10,20,"Fusion",0.055,0.0100856164791336
10,20,"Tukey",0.0545,0.0100856164791336
10,20,"Holm",0.0385,0.0100856164791336
10,20,"BH",0.0435,0.0100856164791336
10,20,"Scheffe",0.002,0.0100856164791336
12,20,"Fusion",0.045,0.00436682806707309
12,20,"Tukey",0.056,0.00436682806707309
12,20,"Holm",0.042,0.00436682806707309
12,20,"BH",0.046,0.00436682806707309
12,20,"Scheffe",0.001,0.00436682806707309
15,20,"Fusion",0.0525,0.00133563187626497
15,20,"Tukey",0.055,0.00133563187626497
15,20,"Holm",0.0365,0.00133563187626497
15,20,"BH",0.0465,0.00133563187626497
15,20,"Scheffe",0,0.00133563187626497
5,25,"Fusion",0.065,0.114256717260664
5,25,"Tukey",0.059,0.114256717260664
5,25,"Holm",0.0445,0.114256717260664
5,25,"BH",0.0505,0.114256717260664
5,25,"Scheffe",0.02,0.114256717260664
6,25,"Fusion",0.057,0.066113596880164
6,25,"Tukey",0.051,0.066113596880164
6,25,"Holm",0.0425,0.066113596880164
6,25,"BH",0.0465,0.066113596880164
6,25,"Scheffe",0.015,0.066113596880164
8,25,"Fusion",0.063,0.0246738185866684
8,25,"Tukey",0.0545,0.0246738185866684
8,25,"Holm",0.0435,0.0246738185866684
8,25,"BH",0.0485,0.0246738185866684
8,25,"Scheffe",0.0065,0.0246738185866684
10,25,"Fusion",0.0435,0.0100856164791336
10,25,"Tukey",0.0455,0.0100856164791336
10,25,"Holm",0.0365,0.0100856164791336
10,25,"BH",0.039,0.0100856164791336
10,25,"Scheffe",0.003,0.0100856164791336
12,25,"Fusion",0.054,0.00436682806707309
12,25,"Tukey",0.0555,0.00436682806707309
12,25,"Holm",0.0385,0.00436682806707309
12,25,"BH",0.043,0.00436682806707309
12,25,"Scheffe",0,0.00436682806707309
15,25,"Fusion",0.055,0.00133563187626497
15,25,"Tukey",0.0445,0.00133563187626497
15,25,"Holm",0.0365,0.00133563187626497
15,25,"BH",0.0395,0.00133563187626497
