k,n,c,fwer
4,10,0.177827941003892,0.0475
5,10,0.1,0.0455
6,10,0.0649381631576211,0.0515
7,10,0.0429351021008348,0.0465
8,10,0.0273841963426436,0.0545
9,10,0.0153992652605949,0.0465
10,10,0.0133352143216332,0.054
11,10,0.00562341325190349,0.0515
12,10,0.00421696503428582,0.049
13,10,0.00316227766016838,0.052
14,10,0.00177827941003892,0.048
15,10,0.00133352143216332,0.053
16,10,0.001,0.047
17,10,0.000562341325190349,0.048
18,10,0.000421696503428582,0.0495
19,10,0.000316227766016838,0.0515
20,10,0.000177827941003892,0.0465
21,10,0.000133352143216332,0.053
22,10,0.0001,0.0495
23,10,0.0000698,0.0455
24,10,0.0000562,0.0545
25,10,0.0000316,0.0485
26,10,0.0000328,0.05
27,10,0.0000178,0.054
28,10,0.00001,0.0485
29,10,0.00000562,0.0525
30,10,0.00000562,0.049
4,15,0.237137370566166,0.0455
5,15,0.1,0.05
6,15,0.0649381631576211,0.054
7,15,0.0316227766016838,0.0515
8,15,0.0237137370566166,0.0535
9,15,0.0153992652605949,0.0465
10,15,0.01,0.0515
11,15,0.00649381631576211,0.0545
12,15,0.00421696503428582,0.0525
13,15,0.00316227766016838,0.052
14,15,0.00177827941003892,0.0475
15,15,0.00133352143216332,0.0495
16,15,0.001,0.049
17,15,0.000649381631576211,0.054
18,15,0.000486967525165863,0.054
19,15,0.000365174127254838,0.0495
20,15,0.000177827941003892,0.053
21,15,0.000133352143216332,0.0495
22,15,0.0001,0.054
23,15,0.0000562,0.05
24,15,0.0000316,0.047
25,15,0.0000422,0.0525
26,15,0.0000237,0.0545
27,15,0.0000178,0.0525
28,15,0.0000133,0.0545
29,15,0.0000075,0.0455
30,15,0.00000562,0.0525
4,20,0.207207871715422,0.0535
5,20,0.1,0.0475
6,20,0.0649381631576211,0.0525
7,20,0.0365174127254838,0.0545
8,20,0.0316227766016838,0.0505
9,20,0.0143301257023696,0.0525
10,20,0.01,0.0475
11,20,0.00749894209332456,0.0525
12,20,0.00453158363760082,0.0535
13,20,0.00316227766016838,0.0495
14,20,0.00177827941003892,0.05
15,20,0.001,0.0485
16,20,0.000749894209332456,0.05
17,20,0.000562341325190349,0.0455
18,20,0.000421696503428582,0.0505
19,20,0.000316227766016838,0.0495
20,20,0.000177827941003892,0.0515
21,20,0.000133352143216332,0.0485
22,20,0.0001,0.0515
23,20,0.0000562,0.0465
24,20,0.0000316,0.049
25,20,0.0000331,0.054
26,20,0.0000205,0.05
27,20,0.0000163,0.052
28,20,0.00001,0.046
29,20,0.00000562,0.0475
30,20,0.00000316,0.0455
4,25,0.184342299240911,0.0495
5,25,0.1,0.052
6,25,0.0562341325190349,0.0485
7,25,0.0316227766016838,0.047
8,25,0.0237137370566166,0.051
9,25,0.0177827941003892,0.054
10,25,0.01,0.0525
11,25,0.00562341325190349,0.0455
12,25,0.00392418975848454,0.0525
13,25,0.00316227766016838,0.0485
14,25,0.00177827941003892,0.054
15,25,0.00177827941003892,0.05
16,25,0.001,0.0535
17,25,0.000523299114681495,0.0505
18,25,0.000421696503428582,0.0545
19,25,0.000316227766016838,0.055
20,25,0.000177827941003892,0.0485
21,25,0.0001,0.053
22,25,0.0000866,0.0515
23,25,0.0001,0.055
24,25,0.0000422,0.0515
25,25,0.0000316,0.0485
26,25,0.0000237,0.0515
27,25,0.0000133,0.0545
28,25,0.0000075,0.046
29,25,0.00001,0.0545
30,25,0.00000422,0.054
4,30,0.171543789634288,0.0525
5,30,0.115478198468946,0.0485
6,30,0.0649381631576211,0.051
7,30,0.0421696503428582,0.053
8,30,0.0237137370566166,0.0525
9,30,0.0177827941003892,0.0535
10,30,0.01,0.0525
11,30,0.00749894209332456,0.0525
12,30,0.00421696503428582,0.049
13,30,0.00316227766016838,0.0485
14,30,0.00237137370566166,0.0535
15,30,0.00133352143216332,0.0525
16,30,0.001,0.0515
17,30,0.000562341325190349,0.0535
18,30,0.000421696503428582,0.055
19,30,0.000316227766016838,0.046
20,30,0.000177827941003892,0.0455
21,30,0.000133352143216332,0.05
22,30,0.000075,0.047
23,30,0.0000562,0.052
24,30,0.0000487,0.051
25,30,0.0000274,0.048
26,30,0.0000178,0.0485
27,30,0.0000178,0.048
28,30,0.00001,0.05
29,30,0.00000562,0.047
30,30,0.00000487,0.0535
4,35,0.177827941003892,0.0475
5,35,0.1,0.05
6,35,0.0649381631576211,0.051
7,35,0.0392418975848454,0.054
8,35,0.0237137370566166,0.049
9,35,0.0177827941003892,0.055
10,35,0.01,0.05
11,35,0.00649381631576211,0.0505
12,35,0.00562341325190349,0.053
13,35,0.00316227766016838,0.054
14,35,0.00177827941003892,0.053
15,35,0.00133352143216332,0.0505
16,35,0.001,0.0535
17,35,0.000562341325190349,0.053
18,35,0.000316227766016838,0.0475
19,35,0.000273841963426436,0.053
20,35,0.000237137370566166,0.053
21,35,0.0001,0.0515
22,35,0.0001,0.054
23,35,0.0000562,0.055
24,35,0.0000562,0.053
25,35,0.0000316,0.053
26,35,0.0000133,0.0475
27,35,0.00001,0.046
28,35,0.00001,0.0505
29,35,0.00000673,0.055
30,35,0.00000422,0.0455
4,40,0.177827941003892,0.0495
5,40,0.1,0.054
6,40,0.0749894209332456,0.0545
7,40,0.0421696503428582,0.0535
8,40,0.0237137370566166,0.05
9,40,0.0177827941003892,0.0525
10,40,0.01,0.055
11,40,0.00562341325190349,0.053
12,40,0.00453158363760082,0.051
13,40,0.00237137370566166,0.048
14,40,0.00177827941003892,0.0535
15,40,0.00133352143216332,0.0505
16,40,0.001,0.05
17,40,0.000562341325190349,0.0455
18,40,0.000316227766016838,0.05
19,40,0.000237137370566166,0.046
20,40,0.000177827941003892,0.0455
21,40,0.0001,0.0485
22,40,0.0001,0.0535
23,40,0.0000562,0.0465
24,40,0.0000316,0.051
25,40,0.0000316,0.048
26,40,0.0000178,0.0535
27,40,0.00001,0.048
28,40,0.00001,0.055
29,40,0.00000562,0.0485
30,40,0.00000316,0.049
4,45,0.177827941003892,0.046
5,45,0.115478198468946,0.0525
6,45,0.0562341325190349,0.052
7,45,0.0378551524925863,0.046
8,45,0.0237137370566166,0.0515
9,45,0.0177827941003892,0.053
10,45,0.01,0.05
11,45,0.00542469093701133,0.0485
12,45,0.00316227766016838,0.049
13,45,0.00237137370566166,0.0465
14,45,0.00177827941003892,0.047
15,45,0.00115478198468946,0.0505
