"scenario","k","n","c_factor","method","power","mean_rejections"
"Monotonic_k5_d0.5",5,10,0.114256717260664,"Fusion",0.9765,2.059
"Monotonic_k5_d0.5",5,10,0.114256717260664,"Tukey",0.97,3.377
"Monotonic_k5_d0.5",5,10,0.114256717260664,"Holm",0.9615,3.44
"Monotonic_k5_d0.5",5,10,0.114256717260664,"BH",0.9675,4.5495
"Monotonic_k5_d0.5",5,10,0.114256717260664,"Scheffe",0.932,2.633
"Monotonic_k5_d1.0",5,10,0.114256717260664,"Fusion",1,2.8865
"Monotonic_k5_d1.0",5,10,0.114256717260664,"Tukey",1,6.9885
"Monotonic_k5_d1.0",5,10,0.114256717260664,"Holm",1,7.5655
"Monotonic_k5_d1.0",5,10,0.114256717260664,"BH",1,8.21
"Monotonic_k5_d1.0",5,10,0.114256717260664,"Scheffe",1,6.426
"TwoGroups_k6_d1.0",6,10,0.066113596880164,"Fusion",0.8105,1.816
"TwoGroups_k6_d1.0",6,10,0.066113596880164,"Tukey",0.7145,2.1915
"TwoGroups_k6_d1.0",6,10,0.066113596880164,"Holm",0.6605,2.0615
"TwoGroups_k6_d1.0",6,10,0.066113596880164,"BH",0.7075,3.474
"TwoGroups_k6_d1.0",6,10,0.066113596880164,"Scheffe",0.473,1.125
"TwoGroups_k6_d0.5",6,10,0.066113596880164,"Fusion",0.2355,1.2355
"TwoGroups_k6_d0.5",6,10,0.066113596880164,"Tukey",0.209,0.356
"TwoGroups_k6_d0.5",6,10,0.066113596880164,"Holm",0.182,0.3
"TwoGroups_k6_d0.5",6,10,0.066113596880164,"BH",0.2035,0.551
"TwoGroups_k6_d0.5",6,10,0.066113596880164,"Scheffe",0.079,0.1135
"ThreeGroups_k9",9,10,0.0156374491648382,"Fusion",0.7245,1.741
"ThreeGroups_k9",9,10,0.0156374491648382,"Tukey",0.6545,2.0735
"ThreeGroups_k9",9,10,0.0156374491648382,"Holm",0.5915,1.7645
"ThreeGroups_k9",9,10,0.0156374491648382,"BH",0.634,3.9435
"ThreeGroups_k9",9,10,0.0156374491648382,"Scheffe",0.23,0.4275
"Outlier_k5_d2.0",5,10,0.114256717260664,"Fusion",0.9975,2.013
"Outlier_k5_d2.0",5,10,0.114256717260664,"Tukey",0.9965,3.836
"Outlier_k5_d2.0",5,10,0.114256717260664,"Holm",0.9955,3.8485
"Outlier_k5_d2.0",5,10,0.114256717260664,"BH",0.996,4.074
"Outlier_k5_d2.0",5,10,0.114256717260664,"Scheffe",0.99,3.612
"Outlier_k5_d1.0",5,10,0.114256717260664,"Fusion",0.55,1.553
"Outlier_k5_d1.0",5,10,0.114256717260664,"Tukey",0.5595,1.1665
"Outlier_k5_d1.0",5,10,0.114256717260664,"Holm",0.516,1.09
"Outlier_k5_d1.0",5,10,0.114256717260664,"BH",0.531,1.462
"Outlier_k5_d1.0",5,10,0.114256717260664,"Scheffe",0.397,0.747
"TwoGroups_k8_d0.8",8,10,0.0246738185866684,"Fusion",0.6805,1.686
"TwoGroups_k8_d0.8",8,10,0.0246738185866684,"Tukey",0.558,1.668
"TwoGroups_k8_d0.8",8,10,0.0246738185866684,"Holm",0.4985,1.441
"TwoGroups_k8_d0.8",8,10,0.0246738185866684,"BH",0.546,3.103
"TwoGroups_k8_d0.8",8,10,0.0246738185866684,"Scheffe",0.218,0.4095
"Monotonic_k5_d0.5",5,15,0.114256717260664,"Fusion",0.9985,2.2155
"Monotonic_k5_d0.5",5,15,0.114256717260664,"Tukey",0.9995,4.506
"Monotonic_k5_d0.5",5,15,0.114256717260664,"Holm",0.999,4.745
"Monotonic_k5_d0.5",5,15,0.114256717260664,"BH",0.9995,5.782
"Monotonic_k5_d0.5",5,15,0.114256717260664,"Scheffe",0.991,3.781
"Monotonic_k5_d1.0",5,15,0.114256717260664,"Fusion",1,3.2055
"Monotonic_k5_d1.0",5,15,0.114256717260664,"Tukey",1,7.9045
"Monotonic_k5_d1.0",5,15,0.114256717260664,"Holm",1,8.738
